key;ID;speciesStrain;speciesStrainComp;genus;genusComp;species;speciesComp;strain;cultureNo;typeStrain;misclassified;gram;oxygen;substrate;genomeAccNo;usedAccNo;ncbiFTP_FAA
507;140946;Belliella buryatensis 5C;belliellaburyatensis5c;Belliella;belliella;Belliella buryatensis;belliellaburyatensis;5C;VKM B-2724|KCTC 32194;yes;;;aerobic;amygdalin|arbutin|cellobiose|citrate|D-arabinose|D-arabitol|D-fructose|D-fucose|D-galactose|D-glucose|D-lyxose|D-mannitol|D-mannose|D-ribose|D-sorbitol|D-tagatose|erythritol|esculin|galactitol|gelatin|gentiobiose|glycerol|glycogen|inulin|lactose|L-arabinose|L-arabitol|L-rhamnose|L-sorbose|maltose|melibiose|methyl alpha-D-glucopyranoside|methyl alpha-D-mannoside|myo-inositol|N-acetylglucosamine|potassium 2-dehydro-D-gluconate|potassium gluconate|raffinose|ribitol|salicin|starch|sucrose|trehalose|turanose|urea|xylitol|xylose;GCA_900188245|1500549.3|2706794919;GCA_900188245;https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/188/245/GCA_900188245.1_IMG-taxon_2706794919_annotated_assembly/GCA_900188245.1_IMG-taxon_2706794919_annotated_assembly_protein.faa.gz
508;24721;Belliella pelovolcani CC-SAL-25;belliellapelovolcaniccsal25;Belliella;belliella;Belliella pelovolcani;belliellapelovolcani;CC-SAL-25;DSM 46698|BCRC 17883|KCTC 13248;yes;;;aerobic;acetate|alanine|arabinose|cellobiose|dextrin|esculin|fructose|fucose|galactose|glucose|glutamate|glycogen|inosine|lactose|L-alaninamide|L-arabitol|maltose|mannose|melibiose|methyl D-glucoside|N-acetylglucosamine|ornithine|raffinose|salicin|succinate|sucrose|threonine|thymidine|trehalose|tween 40|tween 80|uridine|xylitol;GCA_900156785|2681813558|529505.3;GCA_900156785;https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/156/785/GCA_900156785.1_IMG-taxon_2681813558_annotated_assembly/GCA_900156785.1_IMG-taxon_2681813558_annotated_assembly_protein.faa.gz
509;39;Belnapia rosea;belnapiarosea;Belnapia;belnapia;Belnapia rosea;belnapiarosea;;DSM 23312|CGMCC 1.10758|CPCC 100156;yes;;;aerobic;2-oxoglutarate|3-hydroxybutyrate|3-O-methyl-D-glucose|alanine|alpha-D-glucose|arginine|casein|cellulose|D-arabinose|D-fructose|D-fructose 6-phosphate|D-fucose|D-galactose|D-glucose 6-phosphate|D-glucuronate|D-lyxose|D-sorbose|galactitol|gelatin|glucose|glucuronamide|glutamate|glutamine|inulin|isoleucine|L-arabinose|leucine|L-fucose|L-rhamnose|L-xylose|lysine|malate|nitrate|potassium nitrate|starch|threonine|tryptophan|tyrosine|valine;GCA_900101615|GCA_900104205|938405.4|938405.3|2623620456|2596583546;GCA_900101615;https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/101/615/GCA_900101615.1_IMG-taxon_2623620456_annotated_assembly/GCA_900101615.1_IMG-taxon_2623620456_annotated_assembly_protein.faa.gz
510;883098;Bergeyella zoohelcum CCUG 30536;bergeyellazoohelcumccug30536;Bergeyella;bergeyella;Bergeyella zoohelcum;bergeyellazoohelcum;CCUG 30536;;;;negative;;adipate|arginine|decanoate|D-glucose|D-mannitol|D-mannose|esculin|gelatin|gluconate|L-arabinose|malate|maltose|N-acetylglucosamine|nitrate|tryptophan|urea;GCA_000301095|883098.3|1015.4|GCA_900445675|2537561902|2808606806;GCA_000301095;https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/301/095/GCA_000301095.1_Berg_zooh_CCUG_30536_V1/GCA_000301095.1_Berg_zooh_CCUG_30536_V1_protein.faa.gz
511;207949;Bermanella marisrubri RED65;bermanellamarisrubrired65;Bermanella;bermanella;Bermanella marisrubri;bermanellamarisrubri;RED65;;;;negative;aerobic;acetate|glutamate|malate|methyl pyruvate|succinate|tween 40|tween 80;GCA_012295615|207949.12|207949.3|GCA_000153565|638341141;GCA_012295615;https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/012/295/615/GCA_012295615.1_ASM1229561v1/GCA_012295615.1_ASM1229561v1_protein.faa.gz
512;1678;Beutenbergia cavernae 2163-026;beutenbergiacavernae2163026;Beutenbergia;beutenbergia;Beutenbergia cavernae;beutenbergiacavernae;2163-026;DSM 12333|ATCC BAA 8|IFO 16432|NBRC 16432|CCUG 43141|HKI 0122|JCM 11478|CIP 106362|NCIMB 13614;yes;;;aerobic;arabinose|arginine|cellulose|citrate|D-glucose|D-mannitol|D-ribose|D-xylose|fructose|gelatin|glucose|glycogen|lactose|lysine|maltose|mannitol|myo-inositol|nitrate|ornithine|raffinose|rhamnose|sucrose|tryptophan|urea|xylose;471853.5|643692008|CP001618|GCA_000023105;GCA_000023105;https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/023/105/GCA_000023105.1_ASM2310v1/GCA_000023105.1_ASM2310v1_protein.faa.gz
513;12009;Bhargavaea beijingensis ge10;bhargavaeabeijingensisge10;Bhargavaea;bhargavaea;Bhargavaea beijingensis;bhargavaeabeijingensis;ge10;DSM 19037|CGMCC 1.6762;yes;;;aerobic;2-oxopentanoate|acetate|alanine|arabinose|dextrin|esculin|fructose|gelatin|glutamate|glycerol|glycogen|inosine|L-alaninamide|L-arabitol|malate|maltose|methyl D-glucoside|methyl pyruvate|N-acetylglucosamine|nitrate|putrescine|pyruvate|serine|succinate|thymidine|tween 40|uridine|xylitol;GCA_900101985|426756.5|GCA_003944745|426756.4|2619618820;GCA_900101985;https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/101/985/GCA_900101985.1_IMG-taxon_2619618820_annotated_assembly/GCA_900101985.1_IMG-taxon_2619618820_annotated_assembly_protein.faa.gz
514;12010;Bhargavaea ginsengi ge14;bhargavaeaginsengige14;Bhargavaea;bhargavaea;Bhargavaea ginsengi;bhargavaeaginsengi;ge14;DSM 19038|CGMCC 1.6763;yes;;;aerobic;2-oxopentanoate|acetate|alanine|asparagine|esculin|fructose|gelatin|glutamate|glycerol|glycogen|inosine|L-alaninamide|malate|mannose|methyl pyruvate|N-acetylglucosamine|nitrate|propionate|pyruvate|serine|succinate|thymidine|tween 40|uridine;GCA_900109165|2617270926|426757.4;GCA_900109165;https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/109/165/GCA_900109165.1_IMG-taxon_2617270926_annotated_assembly/GCA_900109165.1_IMG-taxon_2617270926_annotated_assembly_protein.faa.gz
515;11747;Bibersteinia trehalosi A92, S110, serovar 3/T15;bibersteiniatrehalosia92s110serovar3t15;Bibersteinia;bibersteinia;Bibersteinia trehalosi;bibersteiniatrehalosi;A92, S110, serovar 3/T15;DSM 23101|ATCC 29703|CCUG 27190|CIP 103829|NCTC 10370|CCM 4733;yes;;;microaerophilic;ornithine|tryptophan;GCA_003892335|GCA_004346205|47735.14;GCA_003892335;https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/892/335/GCA_003892335.1_ASM389233v1/GCA_003892335.1_ASM389233v1_protein.faa.gz
516;1682;Bifidobacterium adolescentis E194a (Variant a);bifidobacteriumadolescentise194avarianta;Bifidobacterium;bifidobacterium;Bifidobacterium adolescentis;bifidobacteriumadolescentis;E194a (Variant a);DSM 20083|ATCC 15703|CCUG 18363|NCTC 11814|JCM 1275|BCRC 14606|CCM 4987|CCUG 17359|CCUG 45213|CECT 5781|CGMCC 1.2190|CIP 64.59|KCTC 3216|LMG 10502|VTT E-981074;yes;;;anaerobic;arbutin|D-arabinose|D-arabitol|D-fructose|D-fucose|D-galactose|D-glucose|D-lyxose|D-ribose|D-tagatose|D-xylose|erythritol|esculin|galactitol|glycerol|glycogen|lactose|L-arabinose|L-arabitol|L-fucose|L-rhamnose|L-xylose|melezitose|melibiose|methyl alpha-D-glucopyranoside|methyl beta-D-xylopyranoside|myo-inositol|Potassium 2-ketogluconate|raffinose|ribitol|starch|sucrose|xylitol;GCA_000010425|GCA_900445615|367928.6|639633010|UAQG00000000|AP009256|1680.108;GCA_000010425;https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/010/425/GCA_000010425.1_ASM1042v1/GCA_000010425.1_ASM1042v1_protein.faa.gz
517;1683;Bifidobacterium adolescentis E 298 b (Variant c);bifidobacteriumadolescentise298bvariantc;Bifidobacterium;bifidobacterium;Bifidobacterium adolescentis;bifidobacteriumadolescentis;E 298 b (Variant c);DSM 20086|ATCC 15705|CCUG 24603|JCM 7046|BCRC 14608|CIP 64.60|LMG 10733;no;;;anaerobic;alpha-cyclodextrin|arginine|D-arabitol|D-mannitol|D-mannose|D-ribose|D-tagatose|glycogen|hippurate|lactose|L-arabinose|L-glutamate|maltose|melezitose|melibiose|methyl beta-D-glucopyranoside|nitrate|pullulan|raffinose|sorbitol|sucrose|trehalose|tryptophan|urea;GCA_002108135|1680.44|LNKJ00000000;GCA_002108135;https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/108/135/GCA_002108135.1_BadoLMG10733v1/GCA_002108135.1_BadoLMG10733v1_protein.faa.gz
518;1748;Bifidobacterium adolescentis Eg1;bifidobacteriumadolescentiseg1;Bifidobacterium;bifidobacterium;Bifidobacterium adolescentis;bifidobacteriumadolescentis;Eg1;DSM 24849|JCM 15918|KCTC 5756|BCRC 80257;no;;;anaerobic;amygdalin|arabinose|arbutin|cellobiose|D-arabinose|D-arabitol|D-fructose|D-fucose|D-galactose|D-glucose|D-lyxose|D-mannitol|D-mannose|D-ribose|D-sorbitol|D-tagatose|D-xylose|erythritol|esculin|galactitol|gentiobiose|glucose|glycerol|glycogen|inulin|lactose|L-arabinose|L-arabitol|L-fucose|L-rhamnose|L-sorbose|L-xylose|maltose|mannitol|melezitose|melibiose|methyl alpha-D-glucopyranoside|methyl alpha-D-mannoside|methyl beta-D-xylopyranoside|myo-inositol|N-acetylglucosamine|Potassium 2-ketogluconate|Potassium 5-ketogluconate|raffinose|ribitol|ribose|salicin|starch|sucrose|trehalose|turanose|xylitol|xylose;GCA_000741415|GCA_000771705|1437612.3|592977.3|2671180988|2597490242|JDUX00000000|JGZQ00000000;GCA_000741415;https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/741/415/GCA_000741415.1_Bifste/GCA_000741415.1_Bifste_protein.faa.gz
519;1684;Bifidobacterium adolescentis RU 424 (Mannitol fermenter);bifidobacteriumadolescentisru424mannitolfermenter;Bifidobacterium;bifidobacterium;Bifidobacterium adolescentis;bifidobacteriumadolescentis;RU 424 (Mannitol fermenter);DSM 20087|JCM 1251|KCTC 3459|LMG 11579;no;;;anaerobic;amygdalin|cellobiose|D-arabinose|D-arabitol|D-fructose|D-fucose|D-galactose|D-glucose|D-lyxose|D-mannitol|D-mannose|D-ribose|D-sorbitol|D-tagatose|D-xylose|erythritol|esculin|galactitol|glycerol|glycogen|lactose|L-arabinose|L-arabitol|L-fucose|L-rhamnose|L-sorbose|L-xylose|maltose|melezitose|melibiose|methyl alpha-D-glucopyranoside|methyl alpha-D-mannoside|methyl beta-D-xylopyranoside|myo-inositol|N-acetylglucosamine|Potassium 2-ketogluconate|raffinose|ribitol|salicin|starch|sucrose|trehalose|turanose|xylitol;GCA_002108155|GCA_000702865|1680.45|JNKM00000000|LNKL00000000|1410644.3|2561511099;GCA_002108155;https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/108/155/GCA_002108155.1_BadoLMG11579v1/GCA_002108155.1_BadoLMG11579v1_protein.faa.gz
520;1685;Bifidobacterium angulatum B677;bifidobacteriumangulatumb677;Bifidobacterium;bifidobacterium;Bifidobacterium angulatum;bifidobacteriumangulatum;B677;DSM 20098|ATCC 27535|JCM 7096|BCRC 14665|CCUG 24039|CGMCC 1.2265|CIP 104167|JCM 1221|KCTC 3236|LMG 11039|NCFB 2236;yes;;;anaerobic;cellobiose|D-arabinose|D-arabitol|D-fructose|D-fucose|D-galactose|D-glucose|D-lyxose|D-mannitol|D-mannose|D-ribose|D-sorbitol|D-tagatose|D-xylose|erythritol|esculin|galactitol|gentiobiose|gluconate|glycerol|glycogen|lactose|L-arabinose|L-arabitol|L-fucose|L-rhamnose|L-sorbose|L-xylose|melezitose|melibiose|methyl alpha-D-mannoside|methyl beta-D-xylopyranoside|myo-inositol|N-acetylglucosamine|Potassium 2-ketogluconate|Potassium 5-ketogluconate|raffinose|ribitol|starch|trehalose|turanose|xylitol;GCA_001025155|GCA_000741065|518635.7|518635.16|2562617143|1683.3|2700989373|GCA_000156635|AP012322|GCA_000771205|518635.17|JGYL00000000|JDTY00000000|2600254972|ABYS00000000;GCA_001025155;https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/025/155/GCA_001025155.1_ASM102515v1/GCA_001025155.1_ASM102515v1_protein.faa.gz
521;1736;Bifidobacterium animalis animalis R101-8;bifidobacteriumanimalisanimalisr1018;Bifidobacterium;bifidobacterium;Bifidobacterium animalis;bifidobacteriumanimalis;animalis R101-8;DSM 20104|ATCC 25527|CIP 105419|JCM 1190|BCRC 14668|CCUG 24606|CGMCC 1.2268|KCTC 3125|LMG 10508|NCFB 2242|VTT E-96663;yes;;;anaerobic;amygdalin|arbutin|cellobiose|D-arabinose|D-arabitol|D-fucose|D-galactose|D-glucose|D-lyxose|D-mannitol|D-mannose|D-ribose|D-sorbitol|D-tagatose|D-xylose|erythritol|esculin|galactitol|gentiobiose|glycerol|glycogen|inulin|lactose|L-arabinose|L-arabitol|L-fucose|L-rhamnose|L-sorbose|L-xylose|maltose|melezitose|methyl alpha-D-glucopyranoside|methyl alpha-D-mannoside|methyl beta-D-xylopyranoside|myo-inositol|N-acetylglucosamine|Potassium 2-ketogluconate|Potassium 5-ketogluconate|ribitol|starch|trehalose|xylitol;GCA_000260715|GCA_000817045|GCA_902387355|GCA_006538245|GCA_006538285|GCA_004167905|GCA_019052265|GCA_015377505|GCA_011770105|GCA_020538665|GCA_020538625|GCA_000695895|GCA_003438565|GCA_020538585|GCA_020538865|GCA_015552635|GCA_004135895|GCA_020538755|GCA_019052295|GCA_009075825|GCA_003095055|GCA_016696725|GCA_019052305|GCA_900157045|GCA_003095115|GCA_003094875|GCA_020708875|GCA_002220485|GCA_008041995|GCA_005844245|GCA_020538555|GCA_020538745|GCA_003095075|GCA_003094895|GCA_009077835|GCA_009075805|GCA_020538695|GCA_003438945|GCA_910574665|GCA_020538725|GCA_900157135|GCA_006538265|GCA_000741485;GCA_000260715;https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/260/715/GCA_000260715.1_ASM26071v1/GCA_000260715.1_ASM26071v1_protein.faa.gz
522;1733;Bifidobacterium animalis lactis UR1;bifidobacteriumanimalislactisur1;Bifidobacterium;bifidobacterium;Bifidobacterium animalis;bifidobacteriumanimalis;lactis UR1;CCUG 37979|DSM 10140|CIP 105265|JCM 10602|BCRC 17394|CGMCC 1.2226|LMG 18314|NRRL B-41405|VTT E-97847;yes;;;anaerobic;amygdalin|arbutin|D-arabinose|D-arabitol|D-fructose|D-fucose|D-glucose|D-lyxose|D-mannitol|D-mannose|D-ribose|D-sorbitol|D-tagatose|D-xylose|erythritol|esculin|galactitol|gentiobiose|glycerol|glycogen|inulin|lactose|L-arabinose|L-arabitol|L-fucose|L-rhamnose|L-sorbose|L-xylose|maltose|melezitose|melibiose|methyl alpha-D-mannoside|methyl beta-D-xylopyranoside|myo-inositol|N-acetylglucosamine|Potassium 2-ketogluconate|Potassium 5-ketogluconate|raffinose|ribitol|salicin|starch|sucrose|trehalose|turanose|xylitol;GCA_020309945|GCA_016835115|GCA_016835135|GCA_003428375|GCA_002914895|GCA_002914815|302911.108|GCA_003390755|GCA_003094915|GCA_000818055|GCA_002803775|GCA_018408975|GCA_017963615|GCA_003094835|302911.109|GCA_018409015|GCA_003606305|302911.106|302911.104|GCA_003095015|GCA_004154425|GCA_004154565|302911.102|GCA_004154435|GCA_008868455|GCA_004154655|302911.105|GCA_019576095|GCA_004154455|GCA_003970855|555970.3|GCA_018408985|GCA_004154535|GCA_003094815|GCA_001892925|302911.13|GCA_004154645|GCA_009834975|GCA_004154695|302911.25|GCA_004154545|GCA_004154475|GCA_003094775|GCA_004154445|GCA_004154555|GCA_004154525;GCA_020309945;https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/309/945/GCA_020309945.1_ASM2030994v1/GCA_020309945.1_ASM2030994v1_protein.faa.gz
523;1687;Bifidobacterium animalis P23;bifidobacteriumanimalisp23;Bifidobacterium;bifidobacterium;Bifidobacterium animalis;bifidobacteriumanimalis;P23;DSM 20105|ATCC 27536|JCM 1253|KCTC 3126|LMG 18905;no;;;anaerobic;amygdalin|arbutin|cellobiose|D-arabinose|D-arabitol|D-fructose|D-fucose|D-galactose|D-glucose|D-lyxose|D-mannitol|D-mannose|D-ribose|D-sorbitol|D-tagatose|D-xylose|erythritol|esculin|galactitol|gentiobiose|gluconate|glycerol|glycogen|inulin|lactose|L-arabinose|L-arabitol|L-fucose|L-rhamnose|L-sorbose|L-xylose|maltose|melezitose|melibiose|methyl alpha-D-glucopyranoside|methyl alpha-D-mannoside|methyl beta-D-xylopyranoside|myo-inositol|N-acetylglucosamine|Potassium 2-ketogluconate|Potassium 5-ketogluconate|raffinose|ribitol|salicin|starch|sucrose|trehalose|turanose|xylitol;GCA_001263975|1365953.3|2651869807|AWFL00000000;GCA_001263975;https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/263/975/GCA_001263975.1_ASM126397v1/GCA_001263975.1_ASM126397v1_protein.faa.gz
524;140310;Bifidobacterium apri RP115;bifidobacteriumaprirp115;Bifidobacterium;bifidobacterium;Bifidobacterium apri;bifidobacteriumapri;RP115;DSM 100238|CCM 8605|LMG 28779;yes;;;anaerobic;amygdalin|arbutin|cellobiose|D-arabinose|D-arabitol|D-fructose|D-fucose|D-galactose|D-glucose|D-lyxose|D-mannitol|D-mannose|D-ribose|D-sorbitol|D-tagatose|D-xylose|erythritol|esculin|galactitol|gentiobiose|gluconate|glycerol|glycogen|inulin|lactose|L-arabinose|L-arabitol|L-fucose|L-rhamnose|L-sorbose|L-xylose|maltose|melezitose|melibiose|methyl alpha-D-glucopyranoside|methyl alpha-D-mannoside|methyl beta-D-xylopyranoside|myo-inositol|N-acetylglucosamine|nitrate|potassium 2-dehydro-D-gluconate|Potassium 2-ketogluconate|potassium 5-dehydro-D-gluconate|Potassium 5-ketogluconate|potassium gluconate|raffinose|ribitol|salicin|starch|sucrose|trehalose|turanose|xylitol;GCA_009299485|1769423.3;GCA_009299485;https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/299/485/GCA_009299485.1_ASM929948v1/GCA_009299485.1_ASM929948v1_protein.faa.gz
525;140884;Bifidobacterium aquikefiri R 54638;bifidobacteriumaquikefirir54638;Bifidobacterium;bifidobacterium;Bifidobacterium aquikefiri;bifidobacteriumaquikefiri;R 54638;LMG 28769|CCUG 67145;yes;;;anaerobic;amygdalin|arbutin|casein|cellobiose|D-arabinose|D-arabitol|D-fructose|D-fucose|D-galactose|D-glucose|D-lyxose|D-mannitol|D-mannose|D-ribose|D-sorbitol|D-tagatose|D-xylose|erythritol|esculin ferric citrate|galactitol|gelatin|gentiobiose|glycerol|glycogen|inulin|lactose|L-arabinose|L-arabitol|L-fucose|L-rhamnose|L-sorbose|L-xylose|maltose|melezitose|melibiose|methyl alpha-D-glucopyranoside|methyl alpha-D-mannoside|methyl beta-D-xylopyranoside|myo-inositol|N-acetylglucosamine|potassium 2-dehydro-D-gluconate|potassium 5-dehydro-D-gluconate|potassium gluconate|raffinose|ribitol|salicin|starch|sucrose|trehalose|turanose|xylitol;1653207.3|GCA_002259795|2791355241;GCA_002259795;https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/259/795/GCA_002259795.1_ASM225979v1/GCA_002259795.1_ASM225979v1_protein.faa.gz
526;;Bifidobacterium bifidum ATCC 15696;bifidobacteriumbifidumatcc15696;Bifidobacterium;bifidobacterium;Bifidobacterium bifidum;bifidobacteriumbifidum;ATCC 15696;ATCC 15696|NCDO 2203|CCUG 45219;;;;anaerobic;alpha-cyclodextrin|arginine|D-arabitol|D-glucose|D-mannitol|D-mannose|D-ribose|D-tagatose|D-xylose|esculin|gelatin|glycogen|hippurate|lactose|L-arabinose|L-glutamate|maltose|melezitose|melibiose|methyl beta-D-glucopyranoside|nitrate|pullulan|raffinose|sorbitol|sucrose|trehalose|tryptophan|urea;GCA_003573955|1207542.9|2859461767;GCA_003573955;https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/573/955/GCA_003573955.1_ASM357395v1/GCA_003573955.1_ASM357395v1_protein.faa.gz
527;1693;Bifidobacterium bifidum Ti;bifidobacteriumbifidumti;Bifidobacterium;bifidobacterium;Bifidobacterium bifidum;bifidobacteriumbifidum;Ti;DSM 20456|ATCC 29521|JCM 1255|BCRC 11845|BCRC 14615|CCUG 18364|CCUG 45217|CECT 870|CGMCC 1.2212|CIP 56.7|HAMBI 1380|IFO 14252|KCTC 3202|KCTC 3281|LMG 11041|LMG 8810|NBRC 100015|NBRC 14252|NCAIM B.02021|NCFB 2715|NCIMB 702715|NCTC 13001|VTT E-97795;yes;;;anaerobic;amygdalin|arbutin|cellobiose|D-arabinose|D-arabitol|D-fructose|D-fucose|D-lyxose|D-mannitol|D-ribose|D-sorbitol|D-tagatose|D-xylose|erythritol|galactitol|gentiobiose|glycerol|glycogen|inulin|L-arabinose|L-arabitol|L-fucose|L-rhamnose|L-xylose|melezitose|methyl alpha-D-glucopyranoside|methyl alpha-D-mannoside|methyl beta-D-xylopyranoside|myo-inositol|N-acetylglucosamine|Potassium 2-ketogluconate|raffinose|ribitol|salicin|starch|trehalose|turanose|xylitol;GCA_900637095|GCA_001025135|GCA_000741085|JGYO00000000|AWSW00000000|GCA_000771485|GCA_901212485|500634.6|500634.3|500634.12|1681.149|2541047090|GCA_000466525|2700989374|2848061456|JDUM00000000|2597490229|AP012323|500634.4|1681.23;GCA_900637095;https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/637/095/GCA_900637095.1_48450_G02/GCA_900637095.1_48450_G02_protein.faa.gz
528;1437606;Bifidobacterium bohemicum JEMLUCVIII-4;bifidobacteriumbohemicumjemlucviii4;Bifidobacterium;bifidobacterium;Bifidobacterium bohemicum;bifidobacteriumbohemicum;JEMLUCVIII-4;;;;positive;anaerobic;amygdalin|arbutin|cellobiose|D-arabitol|D-fructose|D-fucose|D-galactose|D-glucose|D-lyxose|D-mannitol|D-mannose|D-ribose|D-sorbitol|D-tagatose|D-xylose|erythritol|esculin|galactitol|gentiobiose|gluconate|glycogen|inulin|lactose|L-arabinose|L-arabitol|L-fucose|L-rhamnose|L-sorbose|L-xylose|maltose|melezitose|melibiose|methyl alpha-D-glucopyranoside|methyl alpha-D-mannoside|methyl beta-D-xylopyranoside|myo-inositol|N-acetylglucosamine|Potassium 2-ketogluconate|Potassium 5-ketogluconate|raffinose|ribitol|salicin|starch|sucrose|trehalose|turanose|xylitol;GCA_900094965|GCA_000741525|1437606.3|2616644833|2597490239|2657244953|JGYP00000000|GCA_000771605|1437606.5|638617.3|JDUS00000000;GCA_900094965;https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/094/965/GCA_900094965.1_IMG-taxon_2616644833_annotated_assembly/GCA_900094965.1_IMG-taxon_2616644833_annotated_assembly_protein.faa.gz
529;1694;Bifidobacterium boum RU917;bifidobacteriumboumru917;Bifidobacterium;bifidobacterium;Bifidobacterium boum;bifidobacteriumboum;RU917;DSM 20432|ATCC 27917|JCM 1211|BCRC 14677|CCUG 24608|CGMCC 1.2272|KCTC 3227|LMG 10736;yes;;;anaerobic;amygdalin|arbutin|cellobiose|D-arabinose|D-arabitol|D-fructose|D-fucose|D-galactose|D-glucose|D-lyxose|D-mannitol|D-mannose|D-ribose|D-sorbitol|D-tagatose|D-xylose|erythritol|esculin|galactitol|gentiobiose|gluconate|glycerol|glycogen|inulin|lactose|L-arabinose|L-arabitol|L-fucose|L-rhamnose|L-sorbose|L-xylose|maltose|melezitose|melibiose|methyl alpha-D-glucopyranoside|methyl alpha-D-mannoside|methyl beta-D-xylopyranoside|myo-inositol|N-acetylglucosamine|Potassium 2-ketogluconate|Potassium 5-ketogluconate|raffinose|ribitol|salicin|starch|sucrose|trehalose|turanose|xylitol;GCA_000741535|GCA_000771385|1410645.4|78343.3|2600254979|78343.1|2558860116|GCA_000687615|JGYQ00000000|GCA_012844085|1410645.3|JHWO00000000|2681813198|JDUH00000000;GCA_000741535;https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/741/535/GCA_000741535.1_Bifbou/GCA_000741535.1_Bifbou_protein.faa.gz
530;141735;Bifidobacterium breve CCUG 5862;bifidobacteriumbreveccug5862;Bifidobacterium;bifidobacterium;Bifidobacterium breve;bifidobacteriumbreve;CCUG 5862;CCUG 5862|NCTC 10471;no;;;anaerobic;alpha-cyclodextrin|arginine|D-arabitol|D-mannitol|D-mannose|D-ribose|D-tagatose|D-xylose|esculin|gelatin|glycogen|hippurate|lactose|L-arabinose|L-glutamate|maltose|melezitose|melibiose|methyl beta-D-glucopyranoside|nitrate|pullulan|raffinose|sorbitol|sucrose|trehalose|tryptophan|urea;GCA_900445665|1681.109;GCA_900445665;https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/445/665/GCA_900445665.1_55147_E01/GCA_900445665.1_55147_E01_protein.faa.gz
531;1695;Bifidobacterium breve S1;bifidobacteriumbreves1;Bifidobacterium;bifidobacterium;Bifidobacterium breve;bifidobacteriumbreve;S1;DSM 20213|ATCC 15700|NCTC 11815|JCM 1192|BCRC 11846|CCUG 18365|CCUG 30511|CECT 4839|CGMCC 1.2213|CIP 64.69|KCTC 3220|LMG 10501|LMG 11042|NCFB 2257;yes;;;anaerobic;cellobiose|D-arabitol|D-fructose|D-fucose|D-galactose|D-glucose|D-lyxose|D-mannitol|D-ribose|D-sorbitol|D-tagatose|D-xylose|erythritol|esculin|galactitol|glycerol|glycogen|inulin|lactose|L-arabinose|L-arabitol|L-rhamnose|L-sorbose|L-xylose|maltose|melezitose|melibiose|methyl alpha-D-glucopyranoside|methyl alpha-D-mannoside|methyl beta-D-xylopyranoside|myo-inositol|N-acetylglucosamine|Potassium 2-ketogluconate|Potassium 5-ketogluconate|raffinose|ribitol|salicin|sucrose|trehalose|turanose;GCA_900637145|GCA_001025175|GCA_002838485|GCA_002838305|GCA_002838725|GCA_002838605|GCA_002838585|GCA_002838545|GCA_013267755|GCA_002838705|GCA_002838265|GCA_002838325|GCA_002838645|GCA_002838505|GCA_002838245|GCA_004319685|GCA_002838285|GCA_002838685|GCA_000158015|GCA_002838425|GCA_002838565|GCA_002838225|GCA_009429085|GCA_002838345|GCA_002838745|GCA_002838625|GCA_002838525|GCA_002838385|GCA_001281425|GCA_002838405|GCA_009931415|GCA_002838465|GCA_003813065|GCA_002838665|GCA_003860285|GCA_902387425|GCA_009498435|GCA_902167875|GCA_001990225|GCA_002838365|GCA_002838445;GCA_900637145;https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/637/145/GCA_900637145.1_49569_E01/GCA_900637145.1_49569_E01_protein.faa.gz
